"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"TAMUNI";"ENTREV";"TIPO_TEL";"SEXO";"EDAD";"P0";"P1";"P2_1";"P2_2";"P2_3";"P2_4";"P2_5";"P2_6";"P2_7";"P3ES_1";"P3ES_2";"P3ES_3";"P3ES_4";"P3ES_5";"P3ES_6";"P4ES_1";"P4ES_2";"P4ES_3";"P4ES_4";"P4ES_5";"P4ES_6";"P5_1";"P5_2";"P5_3";"P5_4";"P5_5";"P5_6";"P6_1";"P6_2";"P6_3";"P6_4";"P7ES_1";"P7ES_2";"P7ES_3";"P7ES_4";"P8ES_1";"P8ES_2";"P8ES_3";"P8ES_4";"P9_1";"P9_2";"P9_3";"P9_4";"P9_5";"P10_1";"P10_2";"P10_3";"P10_4";"P11_1";"P11_2";"P11_3";"P11_4";"P12";"P13";"P14";"P15";"P16";"ESCIDEOL";"PARTICIPACIONG";"RECUVOTOG";"RECUVOTOGR";"RECUERDO";"SITLAB";"RELALAB";"CNO11";"CNO11R";"ECIVIL";"ESCUELA";"NIVELESTENTREV";"ESTUDIOS";"RELIGION";"PRACTICARELIG6";"INGRESHOG";"CLASESOCIAL";"CLASESUB";"SINCERIDAD";"PESO";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_16";"IA_C2B_17";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4"
3406;127;1;4;7;40;1;6;0;1;2;60;2;2;3;1;2;4;1;1;1;5;4;3;5;5;5;5;8;5;5;1;5;1;1;1;1;1;1;2;2;3;3;4;5;5;5;5;5;8;5;1;1;1;1;1;5;5;1;2;1;1;1;2;2;2;2;2;2;5;1;1;1;1;1;1;3;3;4;3;11;6;6;0;4;3;2;1;0,88233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;"";"";8;5;23;1;37;3;1;1;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0
3406;129;2;16;48;20;2;5;0;2;1;43;1;1;1;2;3;3;1;3;1;5;2;2;4;2;5;5;3;3;3;2;5;1;1;1;1;1;1;1;1;1;2;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;2;1;1;4;2;2;2;4;8;0;0;9998;1;1;2;2;1;3;14;6;2;2;1;3;2;1;0,87559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;13;0;0;0;0;6;0;"";"";8;5;23;1;18;3;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0
3406;132;3;1;11;20;3;5;0;1;2;51;1;2;4;5;4;5;2;4;2;5;3;1;3;1;5;5;4;1;3;4;4;1;1;1;1;2;1;4;3;5;4;4;5;5;4;3;4;1;3;2;2;2;2;4;5;3;2;3;2;2;2;3;2;2;2;2;2;5;1;5;5;5;1;1;5;5;2;3;11;6;4;0;4;96;6;2;1,05842;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0;0;1;1;0;56;0;1;0;0;76;1;"";"";8;5;23;1;23;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;150;4;7;45;0;3;4;0;2;1;43;1;2;3;2;2;2;2;3;3;5;5;3;4;3;4;5;3;4;4;4;5;3;2;2;2;2;3;3;2;4;4;4;5;5;3;3;4;3;4;1;1;1;1;1;1;2;2;1;2;2;2;1;1;2;2;2;2;6;1;3;3;3;1;1;5;5;1;3;5;5;6;0;3;5;4;2;0,85202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";9;5;23;2;18;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;170;5;15;31;201;1;5;0;2;1;52;1;4;4;4;5;3;1;4;5;5;5;5;3;1;5;5;5;5;3;3;3;4;3;2;4;3;4;5;4;5;5;3;3;5;3;2;1;3;3;4;2;3;5;4;4;4;3;4;3;3;4;3;3;2;2;2;1;3;1;9999;9999;9999;1;1;2;2;1;3;13;6;4;0;1;5;4;2;0,79026;0;0;0;0;0;0;35;0;2;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;4;0;0;0;0;4;3;0;219;0;0;1;0;151;1;"";"";8;5;23;1;13;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;174;6;8;24;0;3;4;0;2;1;30;1;1;2;1;1;2;3;4;2;2;5;1;2;5;3;4;5;1;2;5;3;1;2;2;2;2;2;2;1;5;4;5;3;3;3;5;5;5;5;2;2;1;1;1;5;1;5;3;1;4;1;1;4;1;1;1;1;10;1;3;3;3;1;1;2;2;1;3;13;6;6;0;2;3;2;1;0,86625;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;15;0;0;0;0;19;1;"";"";8;5;23;1;20;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;199;7;14;30;30;1;6;0;2;1;58;1;2;2;2;2;2;4;4;2;5;1;3;3;3;5;4;1;1;4;3;4;2;1;1;1;1;2;1;1;4;1;5;4;3;4;5;4;3;4;2;2;2;5;5;4;2;2;4;4;2;1;1;1;5;2;2;2;8;1;2;2;2;2;0;0;12;1;3;11;6;2;2;1;4;3;2;0,81222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;5;0;"";"";8;5;23;1;14;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;208;8;11;10;0;3;2;0;2;1;83;1;2;5;2;5;2;1;5;2;4;3;3;4;3;4;4;4;3;4;3;4;3;2;1;1;2;5;4;4;4;4;4;5;4;3;4;4;3;4;1;1;2;2;2;5;2;1;2;2;2;2;2;2;2;2;2;2;8;1;2;2;2;2;0;0;12;1;3;2;2;2;2;5;4;3;1;0,94031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;5;1;"";"";8;5;23;1;26;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;211;9;15;31;0;3;3;0;2;1;36;1;3;3;2;4;3;2;2;3;5;2;3;3;2;4;5;4;3;2;2;3;3;2;2;2;1;3;2;3;4;4;5;5;5;5;5;3;4;4;2;1;2;2;2;2;1;1;2;2;2;1;2;1;4;2;2;2;5;2;0;0;9997;1;1;3;3;2;3;7;5;2;2;4;3;2;1;0,88825;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;9;0;0;0;0;12;0;"";"";8;5;23;1;18;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;213;10;14;30;0;3;3;0;2;1;35;1;2;1;2;3;2;2;3;2;5;4;4;3;4;4;5;4;4;3;3;4;2;1;1;1;2;2;2;2;4;4;5;5;5;4;5;4;4;5;1;1;1;1;1;3;2;2;2;2;3;3;3;1;1;2;2;2;8;1;2;2;2;1;1;2;2;1;3;9;6;1;3;3;3;2;2;0,91018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";8;5;23;1;17;3;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0
